Model,Score,CI_Lower,CI_Upper
claude-opus-4@20250514,54.3,-1.9,1.6
gemini-2.5-pro,52.5,-1.8,1.5
claude-sonnet-4@20250514,44.6,-2.0,1.4
claude-3-7-sonnet@20250219,39.3,-3.1,1.5
gemini-2.0-flash-001,35.6,-2.4,2.5
gemini-2.0-flash,27.6,-1.9,1.7
claude-3-5-haiku@20241022,21.0,-1.3,1.9
llama-4-maverick-17b-128e-instruct-maas,19.2,-1.4,1.2
gemini-2.0-flash-lite-001,19.0,-1.4,1.4
mistral-large-2411,10.2,-0.9,1.1
mistral-small-2503,9.5,-0.8,0.8
llama-4-scout-17b-16e-instruct-maas,9.2,-0.8,1.0
llama-3.3-70b-instruct-maas,9.0,-1.0,1.0
